date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:22:17	15235/15235	---MCZ	200	added ('OK')	text/html	etag:%22c88a4dae2818484574db2b15f4156aa8-ssl-df%22	https://oracle-v1.netlify.app/index.html	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/index.html	(from )
22:22:18	1447/1447	---MCZ	404	error ('Not%20Found')	text/html	etag:1584234736-ssl-df	https://oracle-v1.netlify.app/robots.txt		(from )
22:22:18	1331/1331	---M--	200	added ('OK')	image/png	etag:%223c1e3588e2f509b964e2c51408141af8-ssl%22	https://oracle-v1.netlify.app/assets/images/Group%2015.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/Group%2015.png	(from https://oracle-v1.netlify.app/index.html)
22:22:18	31000/31000	---MCZ	200	added ('OK')	text/css	etag:%22f39f5a728c417e85499ac1451e48241d-ssl-df%22	https://oracle-v1.netlify.app/assets/css/font-awesome.min.css	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/css/font-awesome.min.css	(from https://oracle-v1.netlify.app/index.html)
22:22:18	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%227d6a8bbb7f794d12100045b430cad290-ssl-df%22	https://oracle-v1.netlify.app/assets/css/slick.min.css	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/css/slick.min.css	(from https://oracle-v1.netlify.app/index.html)
22:22:19	155758/155758	---MCZ	200	added ('OK')	text/css	etag:%2253e218abe72a95524de9ec3e213582ea-ssl-df%22	https://oracle-v1.netlify.app/assets/css/bootstrap.min.css	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/css/bootstrap.min.css	(from https://oracle-v1.netlify.app/index.html)
22:22:19	57095/57095	---MCZ	200	added ('OK')	text/css	etag:%225317e59f415ead68fdb8f59d687aa050-ssl-df%22	https://oracle-v1.netlify.app/assets/css/animate.css	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/css/animate.css	(from https://oracle-v1.netlify.app/index.html)
22:22:19	10134/10134	---M-Z	200	added ('OK')	text/css	etag:%2224dbc1cbbd3fa913951e8a6e77a7409a-ssl-df%22	https://oracle-v1.netlify.app/assets/css/retro-homepage.min.css	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/css/retro-homepage.min.css	(from https://oracle-v1.netlify.app/index.html)
22:22:20	319158/319158	---MCZ	200	added ('OK')	text/css	etag:%2236224fc05a47b7d09d90741e3247dc65-ssl-df%22	https://oracle-v1.netlify.app/assets/css/retro.min.css	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/css/retro.min.css	(from https://oracle-v1.netlify.app/index.html)
22:22:20	16195/16195	---MCZ	200	added ('OK')	text/html	etag:%2261e19f48f10ff9f956d4176051c8521e-ssl-df%22	https://oracle-v1.netlify.app/about.html	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/about.html	(from https://oracle-v1.netlify.app/index.html)
22:22:20	10751/10751	---MCZ	200	added ('OK')	text/html	etag:%223a7036e26f61203be9342f541bdc8a86-ssl-df%22	https://oracle-v1.netlify.app/works.html	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/works.html	(from https://oracle-v1.netlify.app/index.html)
22:22:21	14795/14795	---MCZ	200	added ('OK')	text/html	etag:%22481064ba4f5b77486f0b64409baba560-ssl-df%22	https://oracle-v1.netlify.app/contact.html	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/contact.html	(from https://oracle-v1.netlify.app/index.html)
22:22:21	160649/160649	---M--	200	added ('OK')	image/png	etag:%22810146b655e27feb2bfdb1a3862fd3cc-ssl%22	https://oracle-v1.netlify.app/assets/images/Mask%20Group.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/Mask%20Group.png	(from https://oracle-v1.netlify.app/index.html)
22:22:21	323018/323018	---M--	200	added ('OK')	image/png	etag:%22eb5380081b51776a68bc645f3c4ada14-ssl%22	https://oracle-v1.netlify.app/assets/images/Group%2017.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/Group%2017.png	(from https://oracle-v1.netlify.app/index.html)
22:22:21	302573/302573	---M--	200	added ('OK')	image/png	etag:%22f1b3a0f0bce14736f46e71c879ab9f3c-ssl%22	https://oracle-v1.netlify.app/assets/images/Mask%20Group-1.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/Mask%20Group-1.png	(from https://oracle-v1.netlify.app/index.html)
22:22:21	102167/102167	---M--	200	added ('OK')	image/png	etag:%227d625a2ea090023135266b6892264cc5-ssl%22	https://oracle-v1.netlify.app/assets/images/Mask%20Group-2.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/Mask%20Group-2.png	(from https://oracle-v1.netlify.app/index.html)
22:22:21	874/874	---M--	200	added ('OK')	image/png	etag:%22da19620c35d444897d80628ab5792787-ssl%22	https://oracle-v1.netlify.app/assets/images/pen(1).png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/pen(1).png	(from https://oracle-v1.netlify.app/index.html)
22:22:22	1131/1131	---M--	200	added ('OK')	image/png	etag:%22bb8c6fcbbf38648a3b778b69e0909702-ssl%22	https://oracle-v1.netlify.app/assets/images/support(1).png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/support(1).png	(from https://oracle-v1.netlify.app/index.html)
22:22:22	1584/1584	---M--	200	added ('OK')	image/png	etag:%225fa427722af17717d37e6d64921c0de8-ssl%22	https://oracle-v1.netlify.app/assets/images/idea%201.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/idea%201.png	(from https://oracle-v1.netlify.app/index.html)
22:22:22	487213/487213	---M--	200	added ('OK')	image/jpeg	etag:%229d96e7b926c7e7bed9fde908c19a9cf3-ssl%22	https://oracle-v1.netlify.app/assets/images/toa-heftiba-O3ymvT7Wf9U-unsplash.jpg	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/toa-heftiba-O3ymvT7Wf9U-unsplash.jpg	(from https://oracle-v1.netlify.app/index.html)
22:22:22	7872/7872	---M--	200	added ('OK')	image/png	etag:%2223c9ed69749bc58e2066e98fa5096f6d-ssl%22	https://oracle-v1.netlify.app/assets/images/Group%2019.png	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/images/Group%2019.png	(from https://oracle-v1.netlify.app/index.html)
22:22:23	88144/88144	---MCZ	200	added ('OK')	application/javascript	etag:%223cd3601c8b2b5a2929acfe3b854800b6-ssl-df%22	https://oracle-v1.netlify.app/assets/js/jquery.min.js	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/js/jquery.min.js	(from https://oracle-v1.netlify.app/index.html)
22:22:23	21003/21003	---MCZ	200	added ('OK')	application/javascript	etag:%227f5885c68313b9067fb35efbdc495f1d-ssl-df%22	https://oracle-v1.netlify.app/assets/js/popper.min.js	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/js/popper.min.js	(from https://oracle-v1.netlify.app/index.html)
22:22:24	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:%222013c87fb61a69d0b9e42aa0973084b4-ssl-df%22	https://oracle-v1.netlify.app/assets/js/bootstrap.min.js	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/js/bootstrap.min.js	(from https://oracle-v1.netlify.app/index.html)
22:22:24	42862/42862	---MCZ	200	added ('OK')	application/javascript	etag:%2237fd62b5ea7cb383db020397126abbac-ssl-df%22	https://oracle-v1.netlify.app/assets/js/slick.min.js	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/js/slick.min.js	(from https://oracle-v1.netlify.app/index.html)
22:22:24	8426/8426	---M-Z	200	added ('OK')	application/javascript	etag:%22439bcff6d5bf7cba6e4c02b0f3ce3df5-ssl-df%22	https://oracle-v1.netlify.app/assets/js/wow.min.js	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/js/wow.min.js	(from https://oracle-v1.netlify.app/index.html)
22:22:24	1261/1261	---M-Z	200	added ('OK')	application/javascript	etag:%228bfbd890b37a26037205f96f33bc11ee-ssl-df%22	https://oracle-v1.netlify.app/assets/js/javascript.js	C:/Users/vinicius%20bonancio/Documents/platinum%20shark%20clone/oracle-v1.netlify.app/assets/js/javascript.js	(from https://oracle-v1.netlify.app/index.html)
